DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2014,898840,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2015,1595865,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2016,1042484,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2017,900291,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2018,855708,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2019,834338,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2020,666639,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2021,801361,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2022,1977121,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2023,1303251,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2024,1078504,e,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,1998,51372,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,1999,50236,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2000,52915,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2001,55984,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2002,52778,,
